k,side,h,n,mean,se,period
0.75,edge,8,583,0.0014483986978868534,0.002304972582674549,validation
0.75,edge,9,583,0.00021439197936855202,0.002468127223303523,validation
0.75,edge,10,583,0.0006308358317356605,0.002540782327828664,validation
1.0,long,1,219,-0.00034233607764029534,0.0017756632040519691,validation
1.0,long,2,219,0.0006193448044377278,0.002657192411588086,validation
1.0,long,3,219,0.0009282457854479104,0.002614230308246357,validation
1.0,long,4,219,0.0007213021361300449,0.003134676354189628,validation
1.0,long,5,219,0.002609636514705922,0.003086862887006678,validation
1.0,long,6,219,0.0033090934007155956,0.003207620079370064,validation
1.0,long,7,219,0.0028382115960794044,0.003765790809309843,validation
1.0,long,8,219,0.0035610161331043506,0.003945634784768143,validation
1.0,long,9,219,0.003637580931813128,0.0041991690150827415,validation
1.0,long,10,219,0.004653030639626828,0.004368871642574066,validation
1.0,short,1,218,-0.0022044616622434845,0.0016530908234603325,validation
1.0,short,2,218,-0.001956117691727435,0.0019768387084587195,validation
1.0,short,3,218,0.0005072201518117911,0.002833123896643681,validation
1.0,short,4,218,0.003989678907396685,0.002756115208710979,validation
1.0,short,5,218,0.005344853161436092,0.0027375366645235252,validation
1.0,short,6,218,0.005215477088622468,0.003107696123614864,validation
1.0,short,7,218,0.003979017648781255,0.003310288424997498,validation
1.0,short,8,218,0.0024536216935595917,0.0035777458766600464,validation
1.0,short,9,218,0.0034762393223888854,0.0038890875484704967,validation
1.0,short,10,218,0.00426049013385136,0.0037952837152803493,validation
1.0,edge,1,437,0.0009281488360774713,0.0012133652173351285,validation
1.0,edge,2,437,0.0012862017596531874,0.0016554448662110624,validation
1.0,edge,3,437,0.00021215522635725806,0.0019252307394563143,validation
1.0,edge,4,437,-0.0016287982471395823,0.002088277204469178,validation
1.0,edge,5,437,-0.0013585070765960436,0.0020699221150016537,validation
1.0,edge,6,437,-0.0009434383308077412,0.002240006418762347,validation
1.0,edge,7,437,-0.0005626029928899864,0.0025101298310504106,validation
1.0,edge,8,437,0.0005605789564161607,0.0026645366514564646,validation
1.0,edge,9,437,8.881018715400034e-05,0.002864027268470417,validation
1.0,edge,10,437,0.0002064687892418267,0.0028990617704676707,validation
1.25,long,1,158,0.0001359781273565884,0.0022217735492353397,validation
1.25,long,2,158,0.0027260654925424974,0.0033394932485439704,validation
1.25,long,3,158,0.0025582769079595786,0.0032033870733718644,validation
1.25,long,4,158,0.0016773308824441049,0.003938017918498255,validation
1.25,long,5,158,0.003857624002260165,0.0038474631310084794,validation
1.25,long,6,158,0.004606721853720646,0.004024770617762011,validation
1.25,long,7,158,0.004579503956086557,0.004803560600696694,validation
1.25,long,8,158,0.006655198669600141,0.004988556792281417,validation
1.25,long,9,158,0.005341105209744009,0.005317396451772454,validation
1.25,long,10,158,0.006583492310727799,0.005503176857280053,validation
1.25,short,1,168,-0.002230222665948612,0.002005096311423911,validation
1.25,short,2,168,-0.0032402245711904143,0.0023165789930929695,validation
1.25,short,3,168,-0.0013956847908105276,0.0032846993679239906,validation
1.25,short,4,168,0.0016182859159726188,0.003001922109870845,validation
1.25,short,5,168,0.003372390178237516,0.0030191307545683835,validation
1.25,short,6,168,0.003502659783058417,0.0036484762413010238,validation
1.25,short,7,168,0.0008023322859705855,0.00385890100328158,validation
1.25,short,8,168,-0.0018179813541242447,0.004170613794172447,validation
1.25,short,9,168,-0.0012474862410571243,0.004592146533078669,validation
1.25,short,10,168,0.0006974576161290805,0.004344019238504283,validation
1.25,edge,1,326,0.0012152207116616803,0.0014912140776791052,validation
1.25,edge,2,326,0.0029910309073058416,0.0020080700113976604,validation
1.25,edge,3,326,0.001959149681944116,0.0022936082896294206,validation
1.25,edge,4,326,-2.1023786678623104e-05,0.0024546920118951616,validation
1.25,edge,5,326,0.00013172712396688075,0.0024330457554620254,validation
1.25,edge,6,326,0.00042765401636211194,0.0027144162903080895,validation
1.25,edge,7,326,0.0018060423344129371,0.0030606917369191034,validation
1.25,edge,8,326,0.0041623995622383295,0.003232717437793017,validation
1.25,edge,9,326,0.003231510158396166,0.0034952761121406,validation
1.25,edge,10,326,0.0028313463361512455,0.003482574262881722,validation
1.5,long,1,109,0.0015465446271328267,0.0027300370605425903,validation
1.5,long,2,109,0.002357595614558886,0.004644818756433322,validation
1.5,long,3,109,0.00145759056250621,0.004070692338154377,validation
1.5,long,4,109,0.001069567984946457,0.005443538940817511,validation
1.5,long,5,109,0.0033158559859589195,0.0051195345976697846,validation
1.5,long,6,109,0.004886276551960505,0.005356243072326028,validation
1.5,long,7,109,0.0044264087637039835,0.006474879507056859,validation
1.5,long,8,109,0.005092165080813239,0.006447074837958686,validation
1.5,long,9,109,0.002887721023256294,0.0067538998809460946,validation
1.5,long,10,109,0.004264060654918571,0.006942525018251949,validation
1.5,short,1,111,-0.0021950473894649693,0.0027781995465608537,validation
1.5,short,2,111,-0.003945410656873922,0.0030987636903714822,validation
1.5,short,3,111,-0.0014500414445513241,0.004493216073033054,validation
1.5,short,4,111,0.003197459831147178,0.0037302043551939073,validation
1.5,short,5,111,0.006403247033263477,0.0035760191511508116,validation
1.5,short,6,111,0.007983623285911158,0.004691756853040223,validation
1.5,short,7,111,0.006149775609416548,0.005111254392540305,validation
1.5,short,8,111,0.0044142237779070575,0.005376392165451262,validation
1.5,short,9,111,0.003478857461028076,0.005858042047963449,validation
1.5,short,10,111,0.00547674691873765,0.005406662739635446,validation
1.5,edge,1,220,0.00187374374812768,0.0019435934538841147,validation
1.5,edge,2,220,0.0031587204768178355,0.0027762720122297786,validation
1.5,edge,3,220,0.0014537816893562445,0.003027396458306594,validation
1.5,edge,4,220,-0.0010833415040826045,0.0032843823508994156,validation
1.5,edge,5,220,-0.001587873264648743,0.0031228983244942967,validation
1.5,edge,6,220,-0.0016071729116929247,0.003574544690382842,validation
